% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.285214	1	1	4	0.00333333	7.02728e+12	0
0.285214	1	2	2	0.00333333	7.02728e+12	0
0.286214	1	3	1	0.00333333	7.02728e+12	0
0.286214	1	1	4	0.00333333	7.02728e+12	0
0.286214	1	2	2	0.00333333	7.02728e+12	0
0.287214	1	3	1	0.00333333	7.02728e+12	0
0.287214	1	1	4	0.00333333	7.02728e+12	0
0.287214	1	2	2	0.00333333	7.02728e+12	0
0.288214	1	3	1	0.00333333	7.02728e+12	0
0.288214	1	1	4	0.00333333	7.02728e+12	0
0.288214	1	2	2	0.00333333	7.02728e+12	0
0.289214	1	3	1	0.00333333	7.02728e+12	0
0.289214	1	1	4	0.00333333	7.02728e+12	0
0.289214	1	2	2	0.00333333	7.02728e+12	0
0.290214	1	3	1	0.00333333	7.02728e+12	0
0.290214	1	1	4	0.00333333	7.02728e+12	0
0.290214	1	2	2	0.00333333	7.02728e+12	0
0.291214	1	3	1	0.00333333	7.02728e+12	0
0.291214	1	1	4	0.00333333	7.02728e+12	0
0.291214	1	2	2	0.00333333	7.02728e+12	0
0.292214	1	3	1	0.00333333	7.02728e+12	0
0.292214	1	1	4	0.00333333	7.02728e+12	0
0.292214	1	2	2	0.00333333	7.02728e+12	0
0.293214	1	3	1	0.00333333	7.02728e+12	0
0.293214	1	1	4	0.00333333	7.02728e+12	0
0.293214	1	2	2	0.00333333	7.02728e+12	0
0.294214	1	3	1	0.00333333	7.02728e+12	0
0.294214	1	1	4	0.00333333	7.02728e+12	0
0.294214	1	2	2	0.00333333	7.02728e+12	0
0.295214	1	3	1	0.00333333	7.02728e+12	0
0.295214	1	1	4	0.00333333	7.02728e+12	0
0.295214	1	2	2	0.00333333	7.02728e+12	0
0.296214	1	3	1	0.00333333	7.02728e+12	0
0.296214	1	1	4	0.00333333	7.02728e+12	0
0.296214	1	2	2	0.00333333	7.02728e+12	0
0.297214	1	3	1	0.00333333	7.02728e+12	0
0.297214	1	1	4	0.00333333	7.02728e+12	0
0.297214	1	2	2	0.00333333	7.02728e+12	0
0.298214	1	3	1	0.00333333	7.02728e+12	0
0.298214	1	1	4	0.00333333	7.02728e+12	0
0.298214	1	2	2	0.00333333	7.02728e+12	0
0.299214	1	3	1	0.00333333	7.02728e+12	0
0.299214	1	1	4	0.00333333	7.02728e+12	0
0.299214	1	2	2	0.00333333	7.02728e+12	0
0.300214	1	3	1	0.00333333	7.02728e+12	0
0.300214	1	1	4	0.00333333	7.02728e+12	0
0.300214	1	2	2	0.00333333	7.02728e+12	0
0.301214	1	3	1	0.00333333	7.02728e+12	0
0.301214	1	1	4	0.00333333	7.02728e+12	0
0.301214	1	2	2	0.00333333	7.02728e+12	0
0.302214	1	3	1	0.00333333	7.02728e+12	0
0.302214	1	1	4	0.00333333	7.02728e+12	0
0.302214	1	2	2	0.00333333	7.02728e+12	0
0.303214	1	3	1	0.00333333	7.02728e+12	0
0.303214	1	1	4	0.00333333	7.02728e+12	0
0.303214	1	2	2	0.00333333	7.02728e+12	0
0.304214	1	3	1	0.00333333	7.02728e+12	0
0.304214	1	1	4	0.00333333	7.02728e+12	0
0.304214	1	2	2	0.00333333	7.02728e+12	0
0.305214	1	3	1	0.00333333	7.02728e+12	0
0.305214	1	1	4	0.00333333	7.02728e+12	0
0.305214	1	2	2	0.00333333	7.02728e+12	0
0.306214	1	3	1	0.00333333	7.02728e+12	0
0.306214	1	1	4	0.00333333	7.02728e+12	0
0.306214	1	2	2	0.00333333	7.02728e+12	0
0.307214	1	3	1	0.00333333	7.02728e+12	0
0.307214	1	1	4	0.00333333	7.02728e+12	0
0.307214	1	2	2	0.00333333	7.02728e+12	0
0.308214	1	3	1	0.00333333	7.02728e+12	0
0.308214	1	1	4	0.00333333	7.02728e+12	0
0.308214	1	2	2	0.00333333	7.02728e+12	0
0.309214	1	3	1	0.00333333	7.02728e+12	0
0.309214	1	1	4	0.00333333	7.02728e+12	0
0.309214	1	2	2	0.00333333	7.02728e+12	0
0.310214	1	3	1	0.00333333	7.02728e+12	0
0.310214	1	1	4	0.00333333	7.02728e+12	0
0.310214	1	2	2	0.00333333	7.02728e+12	0
0.311214	1	3	1	0.00333333	7.02728e+12	0
0.311214	1	1	4	0.00333333	7.02728e+12	0
0.311214	1	2	2	0.00333333	7.02728e+12	0
0.312214	1	3	1	0.00333333	7.02728e+12	0
0.312214	1	1	4	0.00333333	7.02728e+12	0
0.312214	1	2	2	0.00333333	7.02728e+12	0
0.313214	1	3	1	0.00333333	7.02728e+12	0
0.313214	1	1	4	0.00333333	7.02728e+12	0
0.313214	1	2	2	0.00333333	7.02728e+12	0
0.314214	1	3	1	0.00333333	7.02728e+12	0
0.314214	1	1	4	0.00333333	7.02728e+12	0
0.314214	1	2	2	0.00333333	7.02728e+12	0
0.315214	1	3	1	0.00333333	7.02728e+12	0
0.315214	1	1	4	0.00333333	7.02728e+12	0
0.315214	1	2	2	0.00333333	7.02728e+12	0
0.316214	1	3	1	0.00333333	7.02728e+12	0
0.316214	1	1	4	0.00333333	7.02728e+12	0
0.316214	1	2	2	0.00333333	7.02728e+12	0
0.317214	1	3	1	0.00333333	7.02728e+12	0
0.317214	1	1	4	0.00333333	7.02728e+12	0
0.317214	1	2	2	0.00333333	7.02728e+12	0
0.318214	1	3	1	0.00333333	7.02728e+12	0
0.318214	1	1	4	0.00333333	7.02728e+12	0
0.318214	1	2	2	0.00333333	7.02728e+12	0
0.319214	1	3	1	0.00333333	7.02728e+12	0
0.319214	1	1	4	0.00333333	7.02728e+12	0
0.319214	1	2	2	0.00333333	7.02728e+12	0
0.320214	1	3	1	0.00333333	7.02728e+12	0
0.320214	1	1	4	0.00333333	7.02728e+12	0
0.320214	1	2	2	0.00333333	7.02728e+12	0
0.321214	1	3	1	0.00333333	7.02728e+12	0
0.321214	1	1	4	0.00333333	7.02728e+12	0
0.321214	1	2	2	0.00333333	7.02728e+12	0
0.322214	1	3	1	0.00333333	7.02728e+12	0
0.322214	1	1	4	0.00333333	7.02728e+12	0
0.322214	1	2	2	0.00333333	7.02728e+12	0
0.323214	1	3	1	0.00333333	7.02728e+12	0
0.323214	1	1	4	0.00333333	7.02728e+12	0
0.323214	1	2	2	0.00333333	7.02728e+12	0
0.324214	1	3	1	0.00333333	7.02728e+12	0
0.324214	1	1	4	0.00333333	7.02728e+12	0
0.324214	1	2	2	0.00333333	7.02728e+12	0
0.325214	1	3	1	0.00333333	7.02728e+12	0
0.325214	1	1	4	0.00333333	7.02728e+12	0
0.325214	1	2	2	0.00333333	7.02728e+12	0
0.326214	1	3	1	0.00333333	7.02728e+12	0
0.326214	1	1	4	0.00333333	7.02728e+12	0
0.326214	1	2	2	0.00333333	7.02728e+12	0
0.327214	1	3	1	0.00333333	7.02728e+12	0
0.327214	1	1	4	0.00333333	7.02728e+12	0
0.327214	1	2	2	0.00333333	7.02728e+12	0
0.328214	1	3	1	0.00333333	7.02728e+12	0
0.328214	1	1	4	0.00333333	7.02728e+12	0
0.328214	1	2	2	0.00333333	7.02728e+12	0
0.329214	1	3	1	0.00333333	7.02728e+12	0
0.329214	1	1	4	0.00333333	7.02728e+12	0
0.329214	1	2	2	0.00333333	7.02728e+12	0
0.330214	1	3	1	0.00333333	7.02728e+12	0
0.330214	1	1	4	0.00333333	7.02728e+12	0
0.330214	1	2	2	0.00333333	7.02728e+12	0
0.331214	1	3	1	0.00333333	7.02728e+12	0
0.331214	1	1	4	0.00333333	7.02728e+12	0
0.331214	1	2	2	0.00333333	7.02728e+12	0
0.332214	1	3	1	0.00333333	7.02728e+12	0
0.332214	1	1	4	0.00333333	7.02728e+12	0
0.332214	1	2	2	0.00333333	7.02728e+12	0
0.333214	1	3	1	0.00333333	7.02728e+12	0
0.333214	1	1	4	0.00333333	7.02728e+12	0
0.333214	1	2	2	0.00333333	7.02728e+12	0
0.334214	1	3	1	0.00333333	7.02728e+12	0
0.334214	1	1	4	0.00333333	7.02728e+12	0
0.334214	1	2	2	0.00333333	7.02728e+12	0
0.335214	1	3	1	0.00333333	7.02728e+12	0
0.335214	1	1	4	0.00333333	7.02728e+12	0
0.335214	1	2	2	0.00333333	7.02728e+12	0
